gene,Gene Name,ess_del,Galactose,low_fitness_gal
Q0075,NA,NA,NA,NA
Q0080,NA,NA,NA,NA
Q0130,NA,NA,NA,NA
Q0140,NA,NA,NA,NA
Q0160,NA,NA,NA,NA
YAL025C,MAK16,yes,0.585,low fitness galactose
YAL064W-B,NA,NA,NA,NA
YAR020C,PAU7,NA,1.016,
YBL026W,LSM2,yes,0.956,low fitness galactose
YBL027W,RPL19B,NA,0.062,low fitness galactose
YBL039W-B,NA,NA,NA,NA
YBL071C-B,NA,NA,NA,NA
YBL078C,ATG8,NA,0.795,low fitness galactose
YBL108C-A,NA,NA,NA,NA
YBL111C,NA,NA,NA,NA
YBL112C,NA,NA,NA,NA
YBR058C-A,TSC3,NA,0.837,low fitness galactose
YBR109C,CMD1,yes,0.746,low fitness galactose
YBR109C,CMD1,yes,0.881,low fitness galactose
YBR109C,CMD1,yes,1.058,
YBR135W,CKS1,yes,0.875,low fitness galactose
YBR135W,CKS1,yes,0.641,low fitness galactose
YBR153W,RIB7,yes,1.004,
YBR154C,RPB5,yes,0.999,low fitness galactose
YBR181C,RPS6B,NA,0.593,low fitness galactose
YBR192W,NA,yes,NA,NA
YBR302C,NA,NA,NA,NA
YCL005W-A,NA,NA,NA,NA
YCL048W-A,NA,NA,NA,NA
YCL054W-A,NA,NA,NA,NA
YCL066W,NA,NA,NA,NA
YCL067C,NA,NA,NA,NA
YCL068C,NA,NA,NA,NA
YCR009C,RVS161,NA,0.931021,low fitness galactose
YCR020W-B,NA,NA,NA,NA
YCR039C,NA,NA,NA,NA
YCR040W,NA,NA,NA,NA
YCR096C,NA,NA,NA,NA
YDL004W,NA,yes,NA,NA
YDL045C,FAD1,yes,0.825,low fitness galactose
YDL061C,RPS29B,NA,0.773,low fitness galactose
YDL075W,NA,NA,NA,NA
YDL081C,NA,NA,NA,NA
YDL136W,RPL35B,NA,0.886,low fitness galactose
YDL219W,DTD1,NA,0.901,low fitness galactose
YDL235C,NA,yes,NA,NA
YDL246C,NA,NA,NA,NA
YDL247W,NA,NA,NA,NA
YDL248W,NA,NA,NA,NA
YDR013W,PSF1,yes,1.022,
YDR025W,NA,NA,NA,NA
YDR034C-A,NA,NA,NA,NA
YDR039C,NA,NA,NA,NA
YDR050C,TPI1,yes,0.993,low fitness galactose
YDR050C,TPI1,yes,0.993,low fitness galactose
YDR065W,NA,NA,NA,NA
YDR086C,SSS1,yes,0.969,low fitness galactose
YDR098C-A,NA,NA,NA,NA
YDR098C-B,NA,NA,NA,NA
YDR115W,NA,NA,NA,NA
YDR210W-A,NA,NA,NA,NA
YDR224C,NA,yes,NA,NA
YDR224C,NA,yes,NA,NA
YDR225W,HTA1,NA,0.847,low fitness galactose
YDR237W,NA,NA,NA,NA
YDR261C-C,NA,NA,NA,NA
YDR261C-D,NA,NA,NA,NA
YDR298C,NA,NA,NA,NA
YDR316W-A,NA,NA,NA,NA
YDR316W-B,NA,NA,NA,NA
YDR320C-A,NA,yes,NA,NA
YDR322C-A,NA,NA,NA,NA
YDR339C,FCF1,yes,0.673,low fitness galactose
YDR363W-A,SEM1,NA,0.96,low fitness galactose
YDR365W-A,NA,NA,NA,NA
YDR365W-B,NA,NA,NA,NA
YDR377W,NA,NA,NA,NA
YDR378C,LSM6,NA,0.797,low fitness galactose
YDR382W,RPP2B,NA,1.008,
YDR404C,RPB7,yes,0.471,low fitness galactose
YDR412W,NA,yes,NA,NA
YDR450W,NA,NA,NA,NA
YDR454C,GUK1,yes,0.873,low fitness galactose
YDR500C,NA,NA,NA,NA
YDR545W,NA,NA,NA,NA
YEL026W,NA,yes,NA,NA
YEL027W,NA,NA,NA,NA
YEL048C,NA,NA,NA,NA
YEL076C,NA,NA,NA,NA
YEL076C-A,NA,NA,NA,NA
YER002W,NA,NA,NA,NA
YER009W,NA,yes,NA,NA
YER048W-A,NA,yes,NA,NA
YER053C-A,NA,NA,NA,NA
YER112W,NA,yes,NA,NA
YER117W,NA,NA,NA,NA
YER137C-A,NA,NA,NA,NA
YER138C,NA,NA,NA,NA
YER159C-A,NA,NA,NA,NA
YER160C,NA,NA,NA,NA
YER177W,BMH1,NA,0.701,low fitness galactose
YER189W,NA,NA,NA,NA
YER190C-B,NA,NA,NA,NA
YFL002W-A,NA,NA,NA,NA
YFL002W-B,NA,NA,NA,NA
YFL064C,NA,NA,NA,NA
YFL065C,NA,NA,NA,NA
YFL066C,NA,NA,NA,NA
YFL068W,NA,NA,NA,NA
YFR032C-A,RPL29,NA,0.883,low fitness galactose
YGL007C-A,NA,NA,NA,NA
YGL020C,GET1,NA,1.005,
YGL030W,NA,yes,NA,NA
YGL106W,NA,NA,NA,NA
