	1657_1	1657_2	1728	1734	1736	1740	1744	1747	1751
YNL333W	8.0	4.0	4.0	1.0	6.0	5.0	2.0	2.0	NaN
YBR257W	6.0	7.0	4.0	5.0	8.0	7.0	NaN	2.0	1.0
YPL141C	30.0	20.0	45.0	13.0	67.0	28.0	10.0	11.0	22.0
YBR258C	7.0	4.0	3.0	2.0	7.0	5.0	1.0	1.0	2.0
YPR030W	34.0	18.0	52.0	18.0	68.0	42.0	23.0	21.0	21.0
YPL068C	10.0	2.0	25.0	3.0	27.0	22.0	4.0	6.0	1.0
YMR323W	6.0	5.0	8.0	6.0	11.0	4.0	6.0	3.0	3.0
YOL030W	21.0	15.0	24.0	10.0	31.0	11.0	13.0	12.0	10.0
YBR255C-A	4.0	1.0	5.0	5.0	15.0	6.0	6.0	NaN	4.0
YDL054C	27.0	19.0	52.0	16.0	51.0	40.0	8.0	16.0	18.0
YKL224C	1.0	2.0	7.0	1.0	5.0	3.0	6.0	NaN	2.0
YJR161C	3.0	NaN	4.0	3.0	NaN	1.0	1.0	NaN	NaN
YIL123W	14.0	16.0	30.0	15.0	42.0	30.0	14.0	5.0	16.0
YJR156C	4.0	6.0	8.0	3.0	9.0	6.0	4.0	3.0	4.0
YJR160C	1.0	1.0	3.0	NaN	5.0	1.0	1.0	1.0	NaN
YJR153W	5.0	11.0	5.0	7.0	17.0	4.0	3.0	3.0	6.0
YJR152W	11.0	6.0	22.0	11.0	29.0	13.0	11.0	5.0	8.0
YJR155W	15.0	8.0	22.0	6.0	26.0	18.0	10.0	5.0	5.0
YJR154W	13.0	7.0	13.0	6.0	19.0	6.0	8.0	3.0	6.0
YBL068W	7.0	6.0	10.0	9.0	15.0	15.0	8.0	4.0	8.0
YBL069W	23.0	21.0	33.0	13.0	51.0	32.0	15.0	6.0	11.0
YBL066C	29.0	28.0	58.0	19.0	73.0	45.0	33.0	10.0	24.0
YBL067C	6.0	2.0	17.0	3.0	26.0	9.0	11.0	1.0	8.0
YBL072C	5.0	3.0	2.0	2.0	2.0	3.0	NaN	1.0	2.0
YBL074C	9.0	9.0	21.0	5.0	14.0	15.0	4.0	6.0	12.0
YBL071W-A	4.0	NaN	3.0	NaN	2.0	4.0	1.0	NaN	2.0
YBR252W	2.0	4.0	4.0	2.0	3.0	1.0	NaN	3.0	2.0
YBL063W	41.0	28.0	37.0	16.0	65.0	36.0	23.0	19.0	25.0
YBL064C	12.0	9.0	30.0	7.0	25.0	13.0	18.0	6.0	7.0
YOL031C	21.0	9.0	25.0	11.0	49.0	30.0	9.0	8.0	12.0
YBR253W	1.0	2.0	NaN	NaN	1.0	NaN	NaN	NaN	NaN
YDL051W	23.0	7.0	18.0	5.0	15.0	13.0	8.0	3.0	7.0
YIL130W	32.0	25.0	37.0	23.0	43.0	42.0	15.0	10.0	15.0
YKR039W	19.0	11.0	47.0	27.0	71.0	54.0	40.0	13.0	29.0
YPL171C	38.0	19.0	39.0	12.0	54.0	44.0	27.0	14.0	25.0
YIL129C	41.0	48.0	47.0	39.0	61.0	38.0	10.0	22.0	24.0
YLR098C	7.0	5.0	13.0	6.0	19.0	13.0	3.0	7.0	6.0
YOR320C	11.0	8.0	22.0	3.0	26.0	16.0	10.0	4.0	7.0
YOR014W	10.0	13.0	19.0	10.0	24.0	20.0	2.0	4.0	7.0
YLR099C	15.0	11.0	25.0	8.0	38.0	19.0	6.0	9.0	10.0
YPL070W	15.0	10.0	22.0	8.0	34.0	20.0	4.0	8.0	12.0
YOR012W	1.0	1.0	8.0	4.0	8.0	5.0	4.0	1.0	4.0
YOL032W	9.0	7.0	11.0	7.0	16.0	10.0	2.0	2.0	4.0
YDL052C	13.0	8.0	28.0	6.0	39.0	23.0	8.0	5.0	12.0
YMR001C-A	10.0	11.0	5.0	2.0	9.0	10.0	2.0	4.0	1.0
YCL057W	34.0	42.0	45.0	16.0	62.0	42.0	17.0	14.0	26.0
YPR108W	11.0	8.0	2.0	3.0	14.0	11.0	1.0	3.0	6.0
YMR001C	7.0	3.0	10.0	5.0	14.0	13.0	NaN	5.0	4.0
YCL057C-A	6.0	3.0	10.0	3.0	17.0	11.0	1.0	4.0	2.0
YCL058W-A	6.0	4.0	7.0	5.0	9.0	7.0	2.0	3.0	3.0
YKL090W	20.0	26.0	57.0	16.0	48.0	29.0	22.0	12.0	18.0
YKL091C	11.0	9.0	31.0	6.0	24.0	10.0	9.0	6.0	11.0
YKL088W	8.0	6.0	34.0	5.0	13.0	8.0	6.0	2.0	5.0
YKL089W	2.0	NaN	14.0	NaN	1.0	NaN	NaN	NaN	NaN
YKL086W	45.0	32.0	96.0	22.0	71.0	58.0	40.0	22.0	25.0
YKL087C	11.0	12.0	60.0	3.0	23.0	26.0	5.0	7.0	2.0
YKL084W	24.0	24.0	42.0	8.0	43.0	18.0	21.0	7.0	11.0
YKL085W	14.0	12.0	44.0	2.0	30.0	19.0	12.0	5.0	8.0
YKL081W	12.0	5.0	56.0	6.0	36.0	22.0	4.0	9.0	6.0
YKL082C	7.0	5.0	20.0	4.0	8.0	5.0	1.0	4.0	3.0
YOL033W	2.0	3.0	22.0	2.0	4.0	13.0	3.0	8.0	2.0
YCL059C	4.0	2.0	3.0	5.0	6.0	2.0	2.0	1.0	2.0
YOR104W	8.0	3.0	9.0	1.0	19.0	7.0	2.0	3.0	3.0
YKR030W	3.0	5.0	8.0	10.0	14.0	8.0	2.0	7.0	10.0
YKR029C	7.0	14.0	28.0	27.0	61.0	27.0	12.0	16.0	20.0
YPL271W	1.0	1.0	2.0	2.0	2.0	3.0	NaN	2.0	2.0
YNL196C	14.0	12.0	24.0	17.0	23.0	17.0	10.0	8.0	7.0
YML001W	7.0	8.0	25.0	1.0	24.0	21.0	2.0	4.0	4.0
YPL270W	21.0	17.0	43.0	12.0	62.0	28.0	16.0	12.0	14.0
YML002W	44.0	20.0	66.0	13.0	84.0	37.0	18.0	20.0	24.0
YPR007C	16.0	12.0	42.0	7.0	40.0	32.0	4.0	12.0	13.0
YDL213C	10.0	7.0	18.0	6.0	16.0	14.0	2.0	6.0	2.0
YNL301C	17.0	15.0	20.0	15.0	31.0	16.0	6.0	9.0	8.0
YOR373W	11.0	11.0	22.0	10.0	23.0	20.0	4.0	5.0	5.0
