Keep,Order,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment,sample
Yes,4,GO:0002181,cytoplasmic translation,187,0.5593192004340800,2.1109955378130200,1E-10,3.916E-08,3.78526315789474E-08,653,"tags=34%, list=11%, signal=31%",853809/853305/851419/852111/856610/852082/852479/851427/852061/850592/852254/851589/851990/853610/855415/853557/853864/853262/853700/851478/850590/851476/854029/856868/852922/856388/856352/851484/854673/856784/852911/852191/854658/853674/850835/853560/855903/851477/856839/851052/852730/855232/850397/852852/850969/852379/853643/853463/851082/853128/851498/852686/856544/853688/855972/851575/851730/856573/851259/856656/850967/854117/853969,1728
No,,GO:0006412,translation,458,0.5040146685713240,2.053189199568650,1E-10,3.916E-08,3.78526315789474E-08,951,"tags=36%, list=17%, signal=32%",853809/853305/851419/852111/856610/852082/852748/853684/851948/852479/851427/852061/850592/855773/852254/851823/851993/853718/851589/851990/853610/855299/855415/852994/853557/853864/853262/853700/851478/852754/852415/850590/854760/851476/854029/856868/851937/853015/852922/856388/856352/856491/853720/850643/851484/851160/855731/852585/856433/854673/856784/852911/852191/854658/851515/850756/853674/854983/850835/851952/852073/856776/856552/853560/855903/853631/853135/853867/851477/856839/851302/856196/853565/853383/851052/852730/855232/851755/851325/850397/852852/850969/852379/853643/854740/856402/853463/851082/853781/852242/850320/853578/852811/856897/855918/853128/854321/852014/851890/851498/851692/852686/856544/855718/856295/853688/855651/855972/851575/851114/853382/851730/850388/855544/852771/851491/852553/853137/853875/856573/851259/853960/856656/850967/856820/856214/852650/853701/856384/854117/853969/852419/855190/856660/853640/852734/851517/851775/852397/855436/855410/851980/853075/850434/850900/853129/856026/852976/851861/853081/856746/851611/851778/852417/855512/851421/851122/856757/856154/854741/856067/853687/850682,1728
Yes,3,GO:0006518,peptide metabolic process,493,0.48302254180510500,1.9800117316866000,1E-10,3.916E-08,3.78526315789474E-08,951,"tags=33%, list=17%, signal=31%",853809/853305/851419/852111/856610/852082/852748/853684/851948/852479/851427/852061/850592/855773/852254/851823/851993/853718/851589/851990/853610/855299/855415/852994/853557/853864/853262/853700/851478/852754/852415/850590/854760/851476/854029/856868/851937/853015/852922/856388/856352/856491/853720/850643/851484/851160/855731/852585/856433/854673/856784/852911/852191/854658/851515/850756/851105/853674/854983/850835/851952/852073/856776/856552/853560/855903/853631/853135/853867/851477/856839/851302/856196/853565/853383/851052/852730/855232/851755/851325/850397/852852/850969/852379/853643/854740/856402/853463/851082/853781/852242/850320/853578/852811/856897/855918/853128/854321/852014/851890/851498/851692/852686/856544/855718/856295/853688/855651/855972/851575/851114/853382/851730/850388/855544/852771/851491/852553/853137/853875/856573/851259/853960/856656/850967/856820/856214/852650/853701/856384/854117/853969/852419/855190/856660/853640/852734/851517/851775/852397/855436/855410/851980/853075/850434/850900/853129/856026/852976/853951/851861/853081/856746/851611/851778/852417/855512/851421/851122/856757/856154/854741/856067/853687/850682,1728
Yes,5,GO:0032543,mitochondrial translation,134,0.6238019523216150,2.2523840293782900,1E-10,3.916E-08,3.78526315789474E-08,882,"tags=51%, list=15%, signal=44%",852748/853684/851948/855773/851823/855299/852994/854760/851937/856491/853720/851160/852585/856433/851515/850756/854983/851952/852073/856776/856552/853135/853867/856196/853565/853383/851755/851325/854740/856402/852242/853578/852811/856897/855918/854321/852014/851890/851692/856295/855651/853382/850388/855544/851491/852553/853137/853875/853960/856214/853701/856384/852419/855190/856660/853640/852734/851517/855436/855410/853075/850434/850900/853129/851861/851611/851778/852417,1728
No,,GO:0043043,peptide biosynthetic process,462,0.5004412473265970,2.0424027867835700,1E-10,3.916E-08,3.78526315789474E-08,730,"tags=31%, list=13%, signal=29%",853809/853305/851419/852111/856610/852082/852748/853684/851948/852479/851427/852061/850592/855773/852254/851823/851993/853718/851589/851990/853610/855299/855415/852994/853557/853864/853262/853700/851478/852754/852415/850590/854760/851476/854029/856868/851937/853015/852922/856388/856352/856491/853720/850643/851484/851160/855731/852585/856433/854673/856784/852911/852191/854658/851515/850756/853674/854983/850835/851952/852073/856776/856552/853560/855903/853631/853135/853867/851477/856839/851302/856196/853565/853383/851052/852730/855232/851755/851325/850397/852852/850969/852379/853643/854740/856402/853463/851082/853781/852242/850320/853578/852811/856897/855918/853128/854321/852014/851890/851498/851692/852686/856544/855718/856295/853688/855651/855972/851575/851114/853382/851730/850388/855544/852771/851491/852553/853137/853875/856573/851259/853960/856656/850967/856820/856214/852650/853701/856384/854117/853969/852419/855190/856660/853640/852734/851517/851775/852397/855436/855410/851980,1728
Yes,14,GO:0090305,nucleic acid phosphodiester bond hydrolysis,258,-0.39464157309074400,-1.7377155498906100,2.19464270448037E-06,6.63048843362608E-04,6.40912757575382E-04,918,"tags=29%, list=16%, signal=25%",850307/853222/855884/851200/855790/856364/854728/852822/851342/850795/850298/852395/851925/854078/852549/855500/854115/854114/851814/856449/852700/851218/854165/854881/5848745/853555/851895/851887/852280/851407/852299/854508/851255/856918/854075/851267/851456/852786/850589/854773/851268/852704/851447/856815/856574/852089/853462/852282/853445/850539/853330/852560/851212/850414/852263/854663/853109/856380/854365/856267/852987/854461/855788/851403/853606/855672/854604/854595/854605/854582/854597/854596/854599/854623,1728
Yes,6,GO:0140053,mitochondrial gene expression,162,0.4964640281439940,1.8386916569703800,2.37045041038726E-06,6.63048843362608E-04,6.40912757575382E-04,882,"tags=46%, list=15%, signal=40%",851637/852748/853684/851948/855773/851823/855299/852994/854760/851937/856491/853720/851160/852585/856433/853053/851515/850756/854983/851952/852073/856776/856552/853135/853867/856196/853565/853383/851755/851325/851529/854740/856402/853432/852242/853578/852811/856897/855918/854321/852014/851890/851692/856295/855651/853382/850388/855544/851491/852553/853137/853875/853960/856214/853701/856384/852419/855190/856660/853640/852734/851517/851775/855436/855410/853075/850434/850900/853129/855045/851861/851611/851778/852417,1728
Yes,2,GO:0042273,ribosomal large subunit biogenesis,124,0.512725217241556,1.831909344018620,1.46761419502903E-05,0.0035919857423335500,0.003472066214029200,814,"tags=32%, list=14%, signal=28%",851419/852111/853934/853937/851823/852816/853864/853262/855774/853682/856868/852922/856388/856352/851208/853847/854658/853674/852802/855903/853956/851052/852852/855782/850652/856719/852686/855495/853894/855972/853860/856656/852995/853969/855890/855664/850549/852569/853855/852976,1728
No,,GO:0000470,maturation of LSU-rRNA,61,0.5949096896263520,1.9120724761528800,3.50989256038742E-05,0.0076359662591539700,0.007381037220557410,861,"tags=38%, list=15%, signal=32%",851419/852111/853934/853937/853262/855774/856868/856352/851208/853847/853674/852802/855903/853956/855782/852686/853894/852995/855890/855664/850549/853855/850982,1728
Yes,8,GO:0019646,aerobic electron transport chain,18,-0.759005984832758,-2.05614719179605,1.21681561434231E-04,0.023825249728822500,0.023029836574605100,94,"tags=33%, list=2%, signal=33%",854627/854598/854622/854595/854597/854596,1728
