ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment,sample,strain_names
GO:0005975,carbohydrate metabolic process,260,-0.4932948486465959,-2.0621857694144436,1e-10,2.0033333333333337e-8,1.4807017543859653e-8,952,"tags=32%, list=16%, signal=28%",852601/850402/855355/854334/853538/856294/853108/856720/851007/855255/851126/851362/854710/856439/853106/852307/855472/853984/856925/851977/856781/851358/856579/850317/853830/855769/851055/851564/850614/853418/853045/851059/855236/856611/850499/850370/854090/854514/852128/853559/853076/854872/852796/852763/851216/853705/852308/854932/856924/854824/851646/855125/855321/855732/856314/854287/855303/851620/852306/852346/851974/854644/852920/850633/856504/852446/852721/854766/856705/851092/852342/852934/851539/850962/854525/851541/852602/853169/855131/856791/853209/856289/853163,1728,aneu
GO:0006364,rRNA processing,356,0.553608626667895,1.9931480002320865,1e-10,2.0033333333333337e-8,1.4807017543859653e-8,1360,"tags=43%, list=22%, signal=36%",853780/853956/853894/853682/850449/853847/853762/850414/854317/852111/851208/853860/854487/851159/856436/854469/850872/855599/853937/851313/854245/853248/856863/852955/853197/856360/855408/850796/851499/855884/853700/854221/852854/851548/852465/853855/855782/856352/855613/856489/856719/853934/853376/856574/856063/854793/851403/853784/851660/856485/851125/856864/854446/850757/850652/853673/852042/852438/855068/852995/852021/850304/853166/850893/851589/851388/853062/852263/854075/853188/852972/856466/855028/856815/854741/854881/853674/856012/856228/851319/856264/856889/853419/854717/855628/851530/850883/855410/850682/853445/854999/856868/855269/850740/852479/856481/856462/856459/856015/855161/853931/854136/851407/852704/852816/850748/856095/856723/855495/855500/854116/854152/853079/852802/850649/854461/850298/856429/852549/850422/851196/850837/850551/853048/852337/854021/854078/853202/853064/855539/855709/854167/855664/851162/855611/856267/853458/855307/850688/855439/851584/854982/850919/855489/855512/854338/851154/854376/850889/856255/856553/855730/855957/850820,1728,aneu
GO:0016072,rRNA metabolic process,373,0.546363852897714,1.9758118442725376,1e-10,2.0033333333333337e-8,1.4807017543859653e-8,1360,"tags=42%, list=22%, signal=35%",853780/853956/853894/853682/850449/853847/853762/850414/854317/852111/851208/853860/854487/851159/856436/854469/850872/855599/853937/851313/854245/853248/856863/852955/853959/853197/854731/856360/855408/850796/851499/855884/853700/854221/852854/851548/852465/853855/855782/856352/855613/856489/856719/853934/853376/856574/856063/854793/851403/853784/851660/856485/851125/856864/854446/850757/850652/853673/852042/852438/855068/852995/852021/850304/853166/851379/850893/851589/851388/853062/852263/854075/853188/852972/856466/855028/856815/854741/854881/853674/856012/856228/851319/856264/856889/853419/854717/855628/851530/850883/855410/850682/853445/854999/856868/855269/850740/852479/856481/856462/856459/856015/855161/853931/854136/851407/852704/852816/850748/856095/856723/855495/855500/854116/854152/853079/852802/850649/854461/850298/856429/852549/850422/851196/850837/850551/853048/852337/854021/854078/853202/853064/855539/855709/854167/855664/855417/851162/855611/856267/853458/855307/850688/855439/851584/854982/850919/855489/855512/854338/851154/854376/850889/856255/856553/855730/855957/850820,1728,aneu
GO:0042274,ribosomal small subunit biogenesis,147,0.6254654667326007,2.072504495459597,1.5338046437674582e-10,2.3045414772606063e-8,1.7033304201838623e-8,1360,"tags=56%, list=22%, signal=44%",853714/853780/853762/850414/853922/854317/854487/854469/851313/854245/855311/853248/855408/851499/855884/853700/854221/855782/853934/853376/855837/856574/854793/851403/853784/851125/856864/854468/850757/852995/853166/851589/851388/853188/852972/855028/856815/854741/854881/854028/853578/856228/854717/855628/850883/855410/853445/855269/850740/852479/856462/856015/853931/854136/851407/852704/856095/854152/850649/854461/850298/852549/850422/851196/850551/853048/852337/855773/853064/854167/851162/856267/853458/851584/854982/850919/854338/851154/850889/856255/856553/850820,1728,aneu
GO:1902680,positive regulation of RNA biosynthetic process,370,0.4829751579644995,1.7460407290964255,1.4701140726323875e-8,7.362821313767208e-7,5.44200121623568e-7,1423,"tags=36%, list=23%, signal=29%",853697/853922/853974/850744/852260/855060/855200/853327/853910/855059/854652/852410/853893/855569/851701/850594/854106/853475/853255/854129/852955/853865/853848/856366/853712/1500489/852710/854280/856360/852614/853796/853970/853823/855220/851212/855626/855092/855976/856016/853718/850445/851645/851753/853828/853748/850347/856437/855837/850513/851220/852432/852860/853784/856178/850598/852755/852042/850650/855920/854290/852814/853854/854928/856146/852809/852592/850419/852125/854404/855407/853938/851788/854540/855620/854999/853523/855522/853751/855276/854755/854456/854684/852322/856763/852184/855030/852728/855208/856904/854433/853650/856316/850873/855656/850984/854841/856612/856455/855055/854879/851903/852547/852171/851747/854675/853985/850920/852694/855402/856582/854087/850706/855704/855975/854773/851452/853178/853499/852848/855005/856358/852541/852074/850523/856081/854020/854230/856133/855625/854993/856297/856397/852399,1728,aneu
GO:1903508,positive regulation of nucleic acid-templated transcription,370,0.4829751579644995,1.7460407290964255,1.4701140726323875e-8,7.362821313767208e-7,5.44200121623568e-7,1423,"tags=36%, list=23%, signal=29%",853697/853922/853974/850744/852260/855060/855200/853327/853910/855059/854652/852410/853893/855569/851701/850594/854106/853475/853255/854129/852955/853865/853848/856366/853712/1500489/852710/854280/856360/852614/853796/853970/853823/855220/851212/855626/855092/855976/856016/853718/850445/851645/851753/853828/853748/850347/856437/855837/850513/851220/852432/852860/853784/856178/850598/852755/852042/850650/855920/854290/852814/853854/854928/856146/852809/852592/850419/852125/854404/855407/853938/851788/854540/855620/854999/853523/855522/853751/855276/854755/854456/854684/852322/856763/852184/855030/852728/855208/856904/854433/853650/856316/850873/855656/850984/854841/856612/856455/855055/854879/851903/852547/852171/851747/854675/853985/850920/852694/855402/856582/854087/850706/855704/855975/854773/851452/853178/853499/852848/855005/856358/852541/852074/850523/856081/854020/854230/856133/855625/854993/856297/856397/852399,1728,aneu
GO:1901135,carbohydrate derivative metabolic process,337,-0.386363813082447,-1.6497417215369008,5.191731846090887e-7,1.7334615775003457e-5,1.2812344088013768e-5,957,"tags=33%, list=16%, signal=30%",851983/856626/854334/853538/850777/856545/856720/851560/852009/852065/851931/851892/852845/851504/855008/852735/854495/854295/852545/855529/853452/854973/853585/853106/854986/856529/855026/851181/853984/856925/854913/855764/852327/852644/855502/851366/854320/851977/853326/856579/850317/853830/852414/855180/855769/851726/851822/853309/853256/855277/854989/852835/855288/850614/856221/851073/854772/851763/851342/853113/854266/851059/853130/853455/852924/856611/850499/856801/856716/850370/854514/852044/852128/854326/855248/852458/855855/852796/852407/855857/855324/853470/853705/854163/852144/855679/854498/856924/854824/856714/855149/855928/851171/853123/852094/855321/852815/855732/851620/856718/851902/854762/855722/851092/852934/851334/851539/854525/851541/853169/855131/853163,1728,aneu
GO:0019637,organophosphate metabolic process,388,-0.36300797009845104,-1.560224081867953,4.149605708078822e-6,1.1875776335977965e-4,8.777612074231897e-5,1064,"tags=32%, list=18%, signal=29%",856229/855983/853172/850307/855699/855313/1466480/850906/855501/851917/851983/856626/854334/850777/855020/851560/852009/851126/852065/851931/851892/852735/854495/854295/852545/856597/853052/852406/853452/854973/853585/853106/854986/856529/854384/855026/851181/853984/856925/854913/852327/852092/852644/852038/853080/852813/852133/855315/856036/854320/855860/851581/853326/855887/856579/850317/852414/853510/855769/852330/851726/851822/853309/850788/854278/855103/855288/851413/850614/851073/854772/851763/854903/851342/851059/853130/854346/856801/851973/850370/854090/852044/851102/850941/852128/854326/855248/855913/852458/856609/852937/852796/855457/855857/855324/856393/853470/850310/853705/855521/852144/853061/851878/854151/852898/855149/855928/856523/851171/853123/855732/851620/856473/854682/855722/852846/851092/852934/851539/854525/850933/851541/853169/855131/853163/856759,1728,aneu
GO:0071824,protein-DNA complex subunit organization,186,0.5085897071486241,1.7413308194541188,6.398123948650914e-6,1.6718576057126e-4,1.235701742027774e-4,1439,"tags=39%, list=24%, signal=30%",853817/853922/853840/853327/856831/852532/851416/852410/850638/854106/853475/851346/854869/853865/853712/854976/855267/853752/855976/850445/854926/853773/856437/852432/850793/852860/856485/852277/850598/854875/852814/851214/852294/854901/856146/851222/850419/854369/851745/851197/851771/850534/855276/851699/853192/852673/852184/852728/855208/856904/854433/851928/854841/856455/855055/855539/851170/851810/852547/853807/853100/853877/850688/852258/855473/855665/854937/856165/854993/856297/855701/851934,1728,aneu
GO:0008610,lipid biosynthetic process,211,-0.4129823490608596,-1.6873382499859273,1.4426206794982506e-5,3.334673186070956e-4,2.464720351207537e-4,921,"tags=34%, list=15%, signal=30%",850777/854342/854396/852476/851931/852735/852545/856597/853052/852406/855026/851181/854913/853080/853348/851087/855315/856036/854320/851581/856386/852330/850788/855164/855250/855103/852883/851413/852314/852825/854772/851763/852926/852925/856079/853045/855566/853130/856535/854014/854346/850790/852924/852044/851102/850941/855248/850400/852458/852937/852796/855457/855324/856393/853470/853061/851120/852456/852898/855928/856523/851171/852288/851547/852329/854762/856018/855344/854682/853243/851334/852481,1728,aneu
