GOBPID,Pvalue,OddsRatio,ExpCount,Count,Size,Term,Cluster
GO:0032197,3.269540762224439e-54,48.859836901121305,2.8703229113275244,51,105,"transposition, RNA-mediated",1
GO:0015074,7.996459237332545e-32,54.67906336088154,1.3668204339654877,28,50,DNA integration,1
GO:0006278,1.6262751426510076e-25,25.4816247582205,2.0502306509482318,28,75,RNA-dependent DNA biosynthetic process,1
GO:0090502,1.0932437570745503e-19,12.04744787922358,3.7450879890654365,30,137,"RNA phosphodiester bond hydrolysis, endonucleolytic",1
GO:0006310,9.762410789678106e-15,6.620545687603003,6.77942935246882,33,248,DNA recombination,1
GO:0090305,3.2491426586473896e-11,5.153530895334174,7.490175978130873,30,274,nucleic acid phosphodiester bond hydrolysis,1
GO:0032508,7.63244766920498e-8,9.15081081081081,1.694857338117205,12,62,DNA duplex unwinding,1
GO:0006508,5.063190177267195e-7,3.2084172372130486,11.26260037587562,30,412,proteolysis,1
GO:0055072,1.9889059458989848e-5,7.009519867549669,1.558175294720656,9,57,iron ion homeostasis,1
GO:0015891,9.934207161687512e-5,24.303418803418804,0.27336408679309754,4,10,siderophore transport,1
GO:0006826,4.3751480675677387e-4,7.116045245077503,1.011447121134461,6,37,iron ion transport,1
GO:0071103,6.06922227576236e-4,3.0235616438356163,5.166581240389544,14,189,DNA conformation change,1
GO:0046034,5.8750544304818205e-33,27.898636551439196,2.630616777720827,36,89,ATP metabolic process,2
GO:0022900,2.888445450610397e-31,40.88015432843019,1.7438920211857167,30,59,electron transport chain,2
GO:0042773,3.9783674413516874e-30,91.32885906040268,1.004954724073125,24,34,ATP synthesis coupled electron transport,2
GO:0009060,1.305464598929199e-23,20.89973474801061,2.364599350760294,28,80,aerobic respiration,2
GO:0015980,1.5422108276679675e-23,15.524531590413943,3.357793435298161,32,117,energy derivation by oxidation of organic compounds,2
GO:0006123,1.8012597916437308e-17,115.29375,0.5024773620365625,13,17,"mitochondrial electron transport, cytochrome c to oxygen",2
GO:0006122,1.2837316164905799e-16,385.6111111111111,0.3546899026140441,11,12,"mitochondrial electron transport, ubiquinol to cytochrome c",2
GO:1902600,1.6224029503187011e-15,11.942962962962962,2.807961729027849,23,95,proton transmembrane transport,2
