Keep,Order,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,sample,details
Yes,3,GO:0140053,mitochondrial gene expression,62,0.649662133,2.515884121,3.24E-09,3.24E-09,8.77E-06,623,"tags=58%, list=18%, signal=48%",YHR091C/YGR150C/YLR091W/YPL097W/YOR187W/YDL033C/YHR011W/YJL023C/YMR098C/YJR113C/YER153C/YNL073W/YPL104W/YDR405W/YCR024C/YHL004W/YEL050C/YGL143C/YDL044C/YCR071C/YLR069C/YPL029W/YDR268W/YPL040C/YLR439W/YPR047W/YCR046C/YBR146W/YMR257C/YIL093C/YNL137C/YNL005C/YGR084C/YOR017W/YHL038C/YBL080C,1728,
Yes,1,GO:0032543,mitochondrial translation,44,0.669678184,2.466797369,8.68E-08,8.68E-08,0.000117602,501,"tags=59%, list=14%, signal=51%",YHR091C/YPL097W/YOR187W/YHR011W/YJR113C/YER153C/YNL073W/YPL104W/YDR405W/YCR024C/YHL004W/YEL050C/YGL143C/YDL044C/YCR071C/YLR069C/YDR268W/YPL040C/YLR439W/YPR047W/YCR046C/YBR146W/YMR257C/YIL093C/YNL137C/YNL005C,1728,
Yes,2,GO:0000959,mitochondrial RNA metabolic process,29,0.735907584,2.461071124,4.24E-07,4.24E-07,0.000382376,413,"tags=55%, list=12%, signal=49%",YHR091C/YGR150C/YLR091W/YPL097W/YDL033C/YHR011W/YJL023C/YNL073W/YPL104W/YCR024C/YPL029W/YDR268W/YPL040C/YMR287C/YPR047W/YJL209W,1728,
Yes,7,GO:0044085,cellular component biogenesis,565,-0.333132991,-1.602951026,7.39E-07,7.39E-07,0.000500614,667,"tags=30%, list=19%, signal=29%",YHR153C/YOL021C/YNL020C/YBR180W/YHR161C/YIL033C/YFR016C/YBR055C/YFR002W/YNL160W/YMR148W/YIL118W/YNL126W/YER063W/YHR030C/YML093W/YGR116W/YER149C/YAL032C/YDR361C/YIL019W/YCR093W/YJL050W/YPR140W/YAR014C/YER172C/YPL100W/YNL286W/YGL004C/YBL061C/YOR098C/YJR042W/YEL004W/YLR425W/YMR240C/YNL293W/YOR211C/YEL055C/YML010W/YGL120C/YGL190C/YJL074C/YHR034C/YMR301C/YCL024W/YIR006C/YNL233W/YHR196W/YER036C/YPR178W/YNL236W/YOR119C/YJL076W/YML031W/YMR232W/YJL025W/YIL091C/YJR075W/YBL063W/YFR046C/YLL003W/YJR034W/YOL077C/YGR162W/YCR030C/YPL242C/YDL117W/YDR168W/YHR023W/YDR170C/YMR172W/YFL007W/YMR288W/YBR023C/YDR325W/YHR165C/YGR218W/YDR189W/YLL011W/YPL235W/YNL079C/YCR042C/YDR364C/YIR005W/YLR371W/YAL047C/YER007W/YPL255W/YLR148W/YIR003W/YJL099W/YML115C/YGR245C/YOR259C/YMR227C/YPL082C/YER022W/YGR131W/YPL043W/YFL046W/YMR039C/YNL294C/YCL017C/YPL203W/YNL047C/YIL068C/YLR409C/YPL217C/YER125W/YLL005C/YFL037W/YMR285C/YLR020C/YGR178C/YHR040W/YPR169W/YCL027W/YCL029C/YIL115C/YLR430W/YBR079C/YFR021W/YIR023W/YER008C/YBR198C/YLR396C/YDL148C/YMR093W/YBL105C/YCR077C/YIL120W/YBR142W/YCL054W/YFR050C/YER013W/YNL224C/YBR102C/YAR019C/YMR191W/YFR031C/YML065W/YCL005W/YLL001W/YLR240W/YIL034C/YNR049C/YGL171W/YIR019C/YMR131C/YAL035W/YAL034W-A/YBR237W/YBL004W/YIL119C/YFL009W/YPL220W/YMR205C/YNL163C/YLR129W/YJL033W/YER027C/YEL032W/YMR239C/YJL019W/YMR183C/YIL072W/YPL266W,1728,
No,,GO:0070127,tRNA aminoacylation for mitochondrial protein translation,10,0.886636316,2.24148533,6.80E-06,6.80E-06,0.003683062,378,"tags=90%, list=11%, signal=80%",YHR091C/YPL097W/YHR011W/YNL073W/YPL104W/YCR024C/YDR268W/YPL040C/YPR047W,1728,Revigo compressed
No,,GO:0033036,macromolecule localization,591,-0.317784773,-1.533182626,1.30E-05,1.30E-05,0.005858958,831,"tags=32%, list=24%, signal=29%",YJL207C/YDR507C/YNR008W/YGL104C/YJR100C/YCR091W/YJR076C/YBR005W/YGR090W/YGR142W/YDL116W/YBR170C/YHR004C/YLL013C/YDR092W/YML109W/YPR181C/YNL298W/YBL106C/YDR495C/YPL204W/YNL271C/YGL137W/YLR384C/YDR166C/YER129W/YNR006W/YJL192C/YJL128C/YGR136W/YDL231C/YNR066C/YGL153W/YJL178C/YDL145C/YGL238W/YPR055W/YBL032W/YNR065C/YGL092W/YNL054W/YCR032W/YNL216W/YIL033C/YFR002W/YAL042W/YNL287W/YPR095C/YER063W/YHR030C/YGR009C/YCL011C/YNR048W/YGL206C/YGR116W/YOR326W/YER149C/YDR361C/YGR152C/YAR014C/YIL013C/YHR001W/YPL100W/YFR023W/YDR180W/YOR098C/YJR042W/YCR073W-A/YHL028W/YNL293W/YMR077C/YFR051C/YNL053W/YML010W/YAR033W/YGL190C/YMR308C/YPL006W/YPL268W/YAL029C/YDL065C/YGL051W/YJL029C/YEL005C/YNL297C/YNL329C/YNL236W/YJL076W/YIL144W/YML031W/YNL041C/YIL002C/YJL110C/YLR119W/YML125C/YHR073W/YPL002C/YPL242C/YAR002W/YJL212C/YHR023W/YDR138W/YDR170C/YJL039C/YIL149C/YHR080C/YIL030C/YBR023C/YGR218W/YDR189W/YMR185W/YNL079C/YAL002W/YOR237W/YBL040C/YIR005W/YIL005W/YHL002W/YNL121C/YLR417W/YPL255W/YLR148W/YJL099W/YGR245C/YAL026C/YGR131W/YER151C/YBR097W/YFR022W/YNL294C/YNL047C/YIL068C/YER125W/YJL204C/YML097C/YEL030W/YGR033C/YHR040W/YCL027W/YGL045W/YNR034W/YIL115C/YFR021W/YDR293C/YCR100C/YER008C/YER113C/YLR396C/YFL004W/YOR329C/YDR292C/YAR002C-A/YHL019C/YDR238C/YPL018W/YER147C/YHR136C/YBR102C/YGL093W/YCL001W/YNL257C/YAR019C/YJL054W/YBL020W/YNR016C/YOR160W/YLR240W/YER031C/YNR049C/YGL171W/YIR004W/YAL014C/YER110C/YIL048W/YOR208W/YAL034W-A/YIL109C/YOL072W/YOR262W/YIL143C/YCL008C/YGL233W/YAL001C/YPR105C/YAL024C/YAL041W/YMR183C,1728,Manually compressed, strain specific
Yes,10,GO:0090305,nucleic acid phosphodiester bond hydrolysis,108,-0.463337902,-1.854638352,1.69E-05,1.69E-05,0.006552902,440,"tags=29%, list=13%, signal=26%",YCL050C/YJL208C/YHL022C/YOL077C/YDL185W/YMR076C/YBR098W/YDR325W/YOL043C/YNR052C/YAL015C/YPL217C/YMR285C/YDR301W/YNL250W/YOL115W/YDR293C/YAL043C/YDL148C/YER171W/YDL102W/YGL094C/YFR031C/YGL171W/YBL004W/YFL009W/YAL021C/YIL143C/YLR129W/YMR239C/YHR164C,1728,
No,,GO:0051641,cellular localization,648,-0.307368836,-1.495576834,2.15E-05,2.15E-05,0.007294104,807,"tags=31%, list=23%, signal=29%",YPL017C/YGR090W/YGR142W/YBL007C/YDL116W/YBR170C/YLL013C/YDR092W/YML109W/YEL022W/YPR181C/YNL298W/YBL106C/YDR495C/YPL204W/YNL271C/YGL137W/YLR384C/YMR056C/YDR166C/YER129W/YNR006W/YDR477W/YOL158C/YJL192C/YJL128C/YGR136W/YDL231C/YNR066C/YGL153W/YJL178C/YDL145C/YGL238W/YPR055W/YHL017W/YBL032W/YNR065C/YGL092W/YNL054W/YCR032W/YGR284C/YNL216W/YIL033C/YFR002W/YAL042W/YNL287W/YPR095C/YER063W/YHR030C/YGR009C/YCL011C/YGL206C/YGR116W/YOR326W/YER149C/YDR361C/YGR152C/YAR014C/YHR001W/YDR179W-A/YPL100W/YDR323C/YFR023W/YDR506C/YDR180W/YGL160W/YOR098C/YJR042W/YCR073W-A/YHL028W/YNL293W/YMR077C/YFR051C/YNL053W/YML010W/YAR033W/YGL190C/YBR104W/YMR308C/YPL268W/YAL029C/YIR006C/YDL065C/YGL051W/YJL029C/YEL005C/YER036C/YNL297C/YNL329C/YNL236W/YJL076W/YIL144W/YML031W/YNL041C/YIL002C/YJL110C/YLR119W/YML125C/YHR073W/YPL002C/YPL242C/YAR002W/YJL212C/YHR023W/YDR138W/YDR170C/YJL039C/YIL149C/YFL007W/YHR080C/YIL030C/YBR023C/YFL027C/YGR218W/YDR189W/YMR185W/YNL079C/YAL002W/YBL040C/YIR005W/YIL005W/YHL002W/YNL121C/YLR417W/YDR407C/YPL255W/YLR148W/YIR003W/YJL099W/YCL034W/YGR245C/YAL026C/YGR131W/YER151C/YBR097W/YFR022W/YNL294C/YNL047C/YIL068C/YER125W/YFL037W/YJL204C/YML097C/YEL030W/YGR033C/YCL027W/YGL045W/YCL029C/YNR034W/YIL115C/YFR021W/YDR293C/YCR100C/YER008C/YER113C/YLR396C/YFL004W/YOR329C/YDR292C/YAR002C-A/YHL019C/YDR238C/YPL018W/YER147C/YHR136C/YBR102C/YGL093W/YCL001W/YNL257C/YAR019C/YJL054W/YNR016C/YOR160W/YLR240W/YER031C/YNR049C/YIR004W/YAL014C/YER110C/YIL048W/YJL097W/YOR208W/YAL034W-A/YOL069W/YIL109C/YIL044C/YPL220W/YOL072W/YLR447C/YPL269W/YOR262W/YIL143C/YCL008C/YGL233W/YAL001C/YPR105C/YAL024C/YAL041W/YJL019W/YMR183C,1728,Revigo compressed
No,,GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",31,-0.65217858,-2.115870174,2.52E-05,2.52E-05,0.007576589,609,"tags=52%, list=18%, signal=43%",YML093W/YIL019W/YGL120C/YHR196W/YOR119C/YIL091C/YLL011W/YPL217C/YDL148C/YMR093W/YGL171W/YAL035W/YBL004W/YFL009W/YLR129W/YPL266W,1728,Manually compressed, strain specific
No,,GO:0030490,maturation of SSU-rRNA,33,-0.638095783,-2.093863741,2.99E-05,2.99E-05,0.008088563,609,"tags=52%, list=18%, signal=43%",YML093W/YIL019W/YGL120C/YHR196W/YOR119C/YIL091C/YLL011W/YPL217C/YDL148C/YMR093W/YNL224C/YGL171W/YAL035W/YBL004W/YFL009W/YLR129W/YPL266W,1728,Revigo compressed
