GOBPID,Pvalue,OddsRatio,ExpCount,Count,Size,Term,Cluster
GO:0032197,1.828514111709127e-43,26.483813747228382,4.400908206292572,51,106,"transposition, RNA-mediated",1
GO:0015074,1.864334508643497e-26,32.86762360446571,2.075900097307817,28,50,DNA integration,1
GO:0006278,4.033728458007111e-20,14.99780701754386,3.155368147907882,28,76,RNA-dependent DNA biosynthetic process,1
GO:0090502,1.6628975921397658e-16,7.802690582959642,5.937074278300357,33,143,"RNA phosphodiester bond hydrolysis, endonucleolytic",1
GO:0006310,3.441331131009599e-11,4.3136363636363635,10.462536490431399,36,252,DNA recombination,1
GO:0090305,5.341257037710173e-9,3.555806938159879,11.915666558546869,35,287,nucleic acid phosphodiester bond hydrolysis,1
GO:0032508,8.17070645030219e-6,5.649951783992285,2.6156341226078497,12,63,DNA duplex unwinding,1
GO:0015891,4.463357910867073e-5,19.60159362549801,0.45669802140771976,5,11,siderophore transport,1
GO:0006119,5.06593506833161e-30,83.06944444444444,0.981658821619867,24,36,oxidative phosphorylation,2
GO:0015980,7.478578582218738e-26,16.808249158249158,3.3584597813672703,34,124,energy derivation by oxidation of organic compounds,2
GO:0009060,6.7214548977520846e-21,26.86425339366516,1.5058670143415906,22,56,aerobic respiration,2
GO:0022904,2.954851228383616e-18,46.46841593780369,0.7946051348716282,16,30,respiratory electron transport chain,2
GO:0006123,9.193114356584295e-18,121.6515625,0.4769704832954914,13,17,"mitochondrial electron transport, cytochrome c to oxygen",2
GO:1902600,8.860723554271488e-17,12.883729366950844,2.7495945507622443,24,98,proton transmembrane transport,2
GO:0006122,1.468536511435765e-14,183.77300613496934,0.3366850470321116,10,12,"mitochondrial electron transport, ubiquinol to cytochrome c",2
GO:0009206,6.161556538866005e-13,34.285714285714285,0.7014271813168991,12,25,purine ribonucleoside triphosphate biosynthetic process,2
GO:0098660,2.7892393245678284e-12,6.706157787790441,5.050275705481674,26,180,inorganic ion transmembrane transport,2
GO:0009144,3.3496266059507904e-12,27.843167701863354,0.785598443074927,12,28,purine nucleoside triphosphate metabolic process,2
GO:0098655,5.953606160192072e-12,6.184577231931979,5.639474537787869,27,201,cation transmembrane transport,2
GO:0055085,1.1092667872349276e-11,4.1320243002820565,12.906260136230944,41,460,transmembrane transport,2
GO:0009199,2.2545325774269922e-11,22.259627329192547,0.8978267920856309,12,32,ribonucleoside triphosphate metabolic process,2
GO:0009142,7.742817963320337e-11,19.346475830407776,0.9819980538436588,12,35,nucleoside triphosphate biosynthetic process,2
GO:0006811,8.174253491896161e-10,3.9106611078022633,11.222834901070385,35,400,ion transport,2
GO:0009152,1.0678048707939473e-8,9.856122448979592,1.7395394096659098,13,62,purine ribonucleotide biosynthetic process,2
GO:0042776,1.6428321499696042e-8,Inf,0.14028543626337983,5,5,mitochondrial ATP synthesis coupled proton transport,2
GO:0006163,1.9688592901025895e-8,6.421858974358974,3.282679208563088,17,117,purine nucleotide metabolic process,2
GO:0009259,3.740802880363594e-8,6.1108669108669105,3.4229646448264677,17,122,ribonucleotide metabolic process,2
GO:0015986,9.206239636037824e-8,28.908212560386474,0.4362928096088297,7,16,ATP synthesis coupled proton transport,2
GO:0072522,1.3937236899639715e-7,7.6478174603174605,2.1323386312033734,13,76,purine-containing compound biosynthetic process,2
GO:0006753,1.902031355470547e-7,4.588550279549571,5.218618228997729,20,186,nucleoside phosphate metabolic process,2
GO:0006796,2.1865691109865024e-7,2.944128955930198,16.016387959866222,38,626,phosphate-containing compound metabolic process,2
GO:0046390,4.067574985913327e-7,6.874910714285714,2.328738241972105,13,83,ribose phosphate biosynthetic process,2
GO:0005984,4.599885135001255e-7,15.244657097288677,0.757541355822251,8,27,disaccharide metabolic process,2
GO:0006314,8.587157749796582e-7,59.42460317460318,0.22445669802140772,5,8,intron homing,2
GO:0009312,8.587157749796582e-7,59.42460317460318,0.22445669802140772,5,8,oligosaccharide biosynthetic process,2
GO:0009165,1.0410337970239591e-6,5.32368896925859,3.3668504703211157,15,120,nucleotide biosynthetic process,2
GO:0006099,1.1283804367668637e-6,13.159228650137742,0.8417126175802789,8,30,tricarboxylic acid cycle,2
GO:0044281,1.414822465526786e-6,2.505884131199931,21.379500486539087,44,762,small molecule metabolic process,2
GO:0046034,3.1388410479140306e-6,8.995454545454546,1.2460408163265306,9,53,ATP metabolic process,2
GO:0005992,1.9616201836214866e-5,47.25838264299803,0.19639961076873175,4,7,trehalose biosynthetic process,2
GO:0034637,3.2874983276057144e-5,6.52280487804878,1.655368147907882,9,59,cellular carbohydrate biosynthetic process,2
GO:0042775,4.132799532400381e-5,32.33513513513513,0.22283759569962536,4,9,mitochondrial ATP synthesis coupled electron transport,2
GO:0006112,6.127203765059502e-5,8.381726907630522,1.0381122283490107,7,37,energy reserve metabolic process,2
GO:0015990,8.506531350409219e-5,105.74117647058823,0.11222834901070386,3,4,electron transport coupled proton transport,2
GO:0022900,8.627620313517979e-5,13.995305164319248,0.4800783801436969,5,20,electron transport chain,2
